データ日付,終値,始値,高値,安値
"2021/01/04","27258.38","27575.57","27602.11","27042.32"
"2021/01/05","27158.63","27151.38","27279.78","27073.46"
"2021/01/06","27055.94","27102.85","27196.40","27002.18"
"2021/01/07","27490.13","27340.46","27624.73","27340.46"
"2021/01/08","28139.03","27720.14","28139.03","27667.75"
"2021/01/12","28164.34","28004.37","28287.37","27899.45"
"2021/01/13","28456.59","28140.10","28503.43","28133.59"
"2021/01/14","28698.26","28442.73","28979.53","28411.58"
"2021/01/15","28519.18","28777.47","28820.50","28477.03"
"2021/01/18","28242.21","28238.68","28349.97","28111.54"
"2021/01/19","28633.46","28405.49","28720.91","28373.34"
"2021/01/20","28523.26","28798.74","28801.19","28402.11"
"2021/01/21","28756.86","28710.41","28846.15","28677.61"
"2021/01/22","28631.45","28580.20","28698.18","28527.16"
"2021/01/25","28822.29","28698.89","28822.29","28566.85"
"2021/01/26","28546.18","28696.30","28740.71","28527.81"
"2021/01/27","28635.21","28665.34","28754.99","28542.00"
"2021/01/28","28197.42","28169.27","28360.48","27975.85"
"2021/01/29","27663.39","28320.72","28320.72","27629.80"
